issue_id,repo_name,issue_title,issue_body,labels,language,difficulty,topics,is_open,created_at,comments_count,combined_text,combined_text_clean,difficulty_score
1,flask-blog-starter,Fix typo in README setup section,The setup instructions mention a wrong command for installing dependencies. This confuses new users trying to run the project. Update the command to the correct one.,documentation,Python,beginner,web,True,2024-02-11,2,Fix typo in README setup section The setup instructions mention a wrong command for installing dependencies. This confuses new users trying to run the project. Update the command to the correct one. documentation Python web,fix typo readm setup section setup instruct mention wrong command instal depend confus new user tri run project updat command correct one document python web,1
2,pandas-utils,Add missing null check in CSV loader,The CSV loader crashes when encountering empty rows. A simple null check should prevent this issue. Add validation before processing rows.,bug,Python,beginner,database,True,2024-03-05,1,Add missing null check in CSV loader The CSV loader crashes when encountering empty rows. A simple null check should prevent this issue. Add validation before processing rows. bug Python database,add miss null check csv loader csv loader crash encount empti row simpl null check prevent issu add valid process row bug python databas,1
3,cli-task-runner,Improve help command output formatting,The help output is hard to read because of poor spacing. Adjust formatting to make it more user friendly. Align command descriptions.,good first issue,Python,beginner,cli,True,2024-04-10,3,Improve help command output formatting The help output is hard to read because of poor spacing. Adjust formatting to make it more user friendly. Align command descriptions. good first issue Python cli,improv help command output format help output hard read poor space adjust format make user friendli align command descript good first issu python cli,1
4,ml-basics,Update outdated sklearn import,The import statement uses a deprecated sklearn module. Update it to the latest recommended version. This will prevent warnings during execution.,easy,Python,beginner,ml,True,2024-05-22,0,Update outdated sklearn import The import statement uses a deprecated sklearn module. Update it to the latest recommended version. This will prevent warnings during execution. easy Python ml,updat outdat sklearn import import statement use deprec sklearn modul updat latest recommend version prevent warn execut easi python ml,1
5,flask-blog-starter,Add error handling for missing config file,The app crashes if config.json is missing. Add a fallback or clear error message. This will improve usability.,help wanted,Python,beginner,web,True,2024-06-18,4,Add error handling for missing config file The app crashes if config.json is missing. Add a fallback or clear error message. This will improve usability. help wanted Python web,add error handl miss config file app crash config json miss add fallback clear error messag improv usabl help want python web,1
6,api-helper,Fix incorrect API endpoint URL,The API endpoint in the code is outdated. Replace it with the correct version. This currently causes failed requests.,bug,Python,beginner,api,True,2024-01-29,2,Fix incorrect API endpoint URL The API endpoint in the code is outdated. Replace it with the correct version. This currently causes failed requests. bug Python api,fix incorrect api endpoint url api endpoint code outdat replac correct version current caus fail request bug python api,1
7,testing-tools,Add basic unit test example,There are no sample tests for new contributors. Add a simple test file to demonstrate usage. This helps beginners understand testing setup.,documentation,Python,beginner,testing,True,2024-03-14,1,Add basic unit test example There are no sample tests for new contributors. Add a simple test file to demonstrate usage. This helps beginners understand testing setup. documentation Python testing,add basic unit test exampl sampl test new contributor add simpl test file demonstr usag help beginn understand test setup document python test,1
8,automation-scripts,Fix script path issue on Windows,The script fails on Windows due to incorrect path separators. Update code to handle cross platform paths. This will improve compatibility.,bug,Python,beginner,automation,True,2024-04-02,5,Fix script path issue on Windows The script fails on Windows due to incorrect path separators. Update code to handle cross platform paths. This will improve compatibility. bug Python automation,fix script path issu window script fail window due incorrect path separ updat code handl cross platform path improv compat bug python autom,1
9,db-manager,Add missing commit after insert,Database inserts are not persisted due to missing commit. Add commit statement after insert operation. This fixes data loss issue.,bug,Python,beginner,database,True,2024-02-20,0,Add missing commit after insert Database inserts are not persisted due to missing commit. Add commit statement after insert operation. This fixes data loss issue. bug Python database,add miss commit insert databas insert persist due miss commit add commit statement insert oper fix data loss issu bug python databas,1
10,cli-task-runner,Add example usage in README,README lacks usage examples for commands. Add simple examples to guide new users. This improves onboarding.,documentation,Python,beginner,cli,True,2024-05-11,2,Add example usage in README README lacks usage examples for commands. Add simple examples to guide new users. This improves onboarding. documentation Python cli,add exampl usag readm readm lack usag exampl command add simpl exampl guid new user improv onboard document python cli,1
11,flask-blog-starter,Fix broken link in footer,The footer contains a broken link to documentation. Update it to the correct URL. This improves navigation.,easy,Python,beginner,web,True,2024-03-07,1,Fix broken link in footer The footer contains a broken link to documentation. Update it to the correct URL. This improves navigation. easy Python web,fix broken link footer footer contain broken link document updat correct url improv navig easi python web,1
12,pandas-utils,Optimize loop using vectorization,A loop can be replaced with pandas vectorized operation. This will improve performance. Update implementation accordingly.,help wanted,Python,beginner,database,True,2024-06-01,3,Optimize loop using vectorization A loop can be replaced with pandas vectorized operation. This will improve performance. Update implementation accordingly. help wanted Python database,optim loop use vector loop replac panda vector oper improv perform updat implement accordingli help want python databas,1
13,api-helper,Handle timeout exception properly,The code does not handle timeout errors. Add try except block for requests timeout. This prevents crashes.,bug,Python,beginner,api,True,2024-02-28,4,Handle timeout exception properly The code does not handle timeout errors. Add try except block for requests timeout. This prevents crashes. bug Python api,handl timeout except properli code handl timeout error add tri except block request timeout prevent crash bug python api,1
14,ml-basics,Add comments explaining model training,The training script lacks comments. Add explanations for each step. This helps beginners understand ML flow.,documentation,Python,beginner,ml,True,2024-04-15,0,Add comments explaining model training The training script lacks comments. Add explanations for each step. This helps beginners understand ML flow. documentation Python ml,add comment explain model train train script lack comment add explan step help beginn understand ml flow document python ml,1
15,testing-tools,Fix assertion error in sample test,The sample test fails due to incorrect expected value. Update expected output. This ensures tests pass correctly.,bug,Python,beginner,testing,True,2024-01-19,6,Fix assertion error in sample test The sample test fails due to incorrect expected value. Update expected output. This ensures tests pass correctly. bug Python testing,fix assert error sampl test sampl test fail due incorrect expect valu updat expect output ensur test pass correctli bug python test,1
16,automation-scripts,Add logging to backup script,The backup script does not log actions. Add basic logging statements. This helps debugging.,good first issue,Python,beginner,automation,True,2024-05-09,2,Add logging to backup script The backup script does not log actions. Add basic logging statements. This helps debugging. good first issue Python automation,add log backup script backup script log action add basic log statement help debug good first issu python autom,1
17,db-manager,Fix typo in SQL query,There is a typo in the SELECT query. Correct the column name. This currently causes query failure.,bug,Python,beginner,database,True,2024-03-01,1,Fix typo in SQL query There is a typo in the SELECT query. Correct the column name. This currently causes query failure. bug Python database,fix typo sql queri typo select queri correct column name current caus queri failur bug python databas,1
18,cli-task-runner,Add default value for argument,The CLI argument crashes when not provided. Add a default value. This improves usability.,easy,Python,beginner,cli,True,2024-02-13,0,Add default value for argument The CLI argument crashes when not provided. Add a default value. This improves usability. easy Python cli,add default valu argument cli argument crash provid add default valu improv usabl easi python cli,1
19,flask-blog-starter,Improve error page design,The error page is plain and unclear. Improve layout and message clarity. This enhances user experience.,help wanted,Python,beginner,web,True,2024-04-28,3,Improve error page design The error page is plain and unclear. Improve layout and message clarity. This enhances user experience. help wanted Python web,improv error page design error page plain unclear improv layout messag clariti enhanc user experi help want python web,1
20,pandas-utils,Add docstring to utility function,The function lacks proper documentation. Add a clear docstring. This helps maintainability.,documentation,Python,beginner,database,True,2024-06-10,1,Add docstring to utility function The function lacks proper documentation. Add a clear docstring. This helps maintainability. documentation Python database,add docstr util function function lack proper document add clear docstr help maintain document python databas,1
21,api-helper,Fix JSON parsing issue,The response parsing fails for invalid JSON. Add validation before parsing. This prevents runtime errors.,bug,Python,beginner,api,True,2024-03-22,2,Fix JSON parsing issue The response parsing fails for invalid JSON. Add validation before parsing. This prevents runtime errors. bug Python api,fix json pars issu respons pars fail invalid json add valid pars prevent runtim error bug python api,1
22,ml-basics,Add requirements.txt file,The project does not include dependency list. Add requirements.txt with needed libraries. This helps setup.,good first issue,Python,beginner,ml,True,2024-02-05,0,Add requirements.txt file The project does not include dependency list. Add requirements.txt with needed libraries. This helps setup. good first issue Python ml,add requir txt file project includ depend list add requir txt need librari help setup good first issu python ml,1
23,testing-tools,Update pytest version in config,The pytest version is outdated. Update it to latest stable version. This avoids compatibility issues.,easy,Python,beginner,testing,True,2024-05-17,1,Update pytest version in config The pytest version is outdated. Update it to latest stable version. This avoids compatibility issues. easy Python testing,updat pytest version config pytest version outdat updat latest stabl version avoid compat issu easi python test,1
24,automation-scripts,Fix cron schedule example,The cron example is incorrect. Update it to valid syntax. This ensures proper scheduling.,bug,Python,beginner,automation,True,2024-04-12,3,Fix cron schedule example The cron example is incorrect. Update it to valid syntax. This ensures proper scheduling. bug Python automation,fix cron schedul exampl cron exampl incorrect updat valid syntax ensur proper schedul bug python autom,1
25,db-manager,Add index to improve query speed,Queries are slow without indexing. Add index to relevant column. This improves performance.,help wanted,Python,beginner,database,True,2024-01-27,4,Add index to improve query speed Queries are slow without indexing. Add index to relevant column. This improves performance. help wanted Python database,add index improv queri speed queri slow without index add index relev column improv perform help want python databas,1
26,cli-task-runner,Fix command not found error,Some commands are not registered properly. Update command registration logic. This resolves missing commands.,bug,Python,beginner,cli,True,2024-03-18,2,Fix command not found error Some commands are not registered properly. Update command registration logic. This resolves missing commands. bug Python cli,fix command found error command regist properli updat command registr logic resolv miss command bug python cli,1
27,flask-blog-starter,Add favicon to project,The app does not include a favicon. Add a default favicon. This improves appearance.,good first issue,Python,beginner,web,True,2024-02-09,0,Add favicon to project The app does not include a favicon. Add a default favicon. This improves appearance. good first issue Python web,add favicon project app includ favicon add default favicon improv appear good first issu python web,1
28,pandas-utils,Handle empty dataframe case,The function fails on empty dataframe. Add condition to handle this case. This avoids crashes.,bug,Python,beginner,database,True,2024-05-25,1,Handle empty dataframe case The function fails on empty dataframe. Add condition to handle this case. This avoids crashes. bug Python database,handl empti datafram case function fail empti datafram add condit handl case avoid crash bug python databas,1
29,api-helper,Add retry logic for failed requests,The API calls fail without retry. Implement simple retry mechanism. This improves reliability.,help wanted,Python,beginner,api,True,2024-06-12,5,Add retry logic for failed requests The API calls fail without retry. Implement simple retry mechanism. This improves reliability. help wanted Python api,add retri logic fail request api call fail without retri implement simpl retri mechan improv reliabl help want python api,1
30,ml-basics,Fix incorrect label encoding,Labels are encoded incorrectly in training. Update encoding logic. This improves model accuracy.,bug,Python,beginner,ml,True,2024-01-30,3,Fix incorrect label encoding Labels are encoded incorrectly in training. Update encoding logic. This improves model accuracy. bug Python ml,fix incorrect label encod label encod incorrectli train updat encod logic improv model accuraci bug python ml,1
31,testing-tools,Add coverage report configuration,Test coverage is not measured. Add configuration for coverage tool. This improves testing insights.,documentation,Python,beginner,testing,True,2024-03-27,2,Add coverage report configuration Test coverage is not measured. Add configuration for coverage tool. This improves testing insights. documentation Python testing,add coverag report configur test coverag measur add configur coverag tool improv test insight document python test,1
32,automation-scripts,Fix file permission issue,Script fails due to permission errors. Update file handling logic. This ensures proper execution.,bug,Python,beginner,automation,True,2024-02-21,1,Fix file permission issue Script fails due to permission errors. Update file handling logic. This ensures proper execution. bug Python automation,fix file permiss issu script fail due permiss error updat file handl logic ensur proper execut bug python autom,1
33,db-manager,Add connection timeout setting,Database connection hangs indefinitely. Add timeout setting. This improves stability.,easy,Python,beginner,database,True,2024-04-05,0,Add connection timeout setting Database connection hangs indefinitely. Add timeout setting. This improves stability. easy Python database,add connect timeout set databas connect hang indefinit add timeout set improv stabil easi python databas,1
34,cli-task-runner,Improve error message clarity,Error messages are vague. Update them to be more descriptive. This helps debugging.,help wanted,Python,beginner,cli,True,2024-05-03,4,Improve error message clarity Error messages are vague. Update them to be more descriptive. This helps debugging. help wanted Python cli,improv error messag clariti error messag vagu updat descript help debug help want python cli,1
46,react-todo-app,Fix typo in README installation steps,The current README says npm isntall instead of npm install. This might confuse new users trying to set up the project. Please update the documentation section.,documentation,JavaScript,beginner,frontend,True,2024-03-12,2,Fix typo in README installation steps The current README says npm isntall instead of npm install. This might confuse new users trying to set up the project. Please update the documentation section. documentation JavaScript frontend,fix typo readm instal step current readm say npm isntal instead npm instal might confus new user tri set project pleas updat document section document javascript frontend,1
47,express-api-boilerplate,Add missing validation for user email,The registration endpoint does not check if the email string contains an @ symbol. We should add a simple regex check in the controller. This is a good entry-level task for backend practice.,bug,TypeScript,beginner,api,True,2024-05-20,4,Add missing validation for user email The registration endpoint does not check if the email string contains an @ symbol. We should add a simple regex check in the controller. This is a good entry-level task for backend practice. bug TypeScript api,add miss valid user email registr endpoint check email string contain symbol add simpl regex check control good entri level task backend practic bug typescript api,1
