"issue_id","repo_name","issue_title","issue_body","labels","language","difficulty","topics","is_open","created_at","comments_count"
"1","flask-blog-starter","Fix typo in README setup section","The setup instructions mention a wrong command for installing dependencies. This confuses new users trying to run the project. Update the command to the correct one.","documentation","Python","beginner","web","True","2024-02-11","2"
"2","pandas-utils","Add missing null check in CSV loader","The CSV loader crashes when encountering empty rows. A simple null check should prevent this issue. Add validation before processing rows.","bug","Python","beginner","database","True","2024-03-05","1"
"3","cli-task-runner","Improve help command output formatting","The help output is hard to read because of poor spacing. Adjust formatting to make it more user friendly. Align command descriptions.","good first issue","Python","beginner","cli","True","2024-04-10","3"
"4","ml-basics","Update outdated sklearn import","The import statement uses a deprecated sklearn module. Update it to the latest recommended version. This will prevent warnings during execution.","easy","Python","beginner","ml","True","2024-05-22","0"
"5","flask-blog-starter","Add error handling for missing config file","The app crashes if config.json is missing. Add a fallback or clear error message. This will improve usability.","help wanted","Python","beginner","web","True","2024-06-18","4"
"6","api-helper","Fix incorrect API endpoint URL","The API endpoint in the code is outdated. Replace it with the correct version. This currently causes failed requests.","bug","Python","beginner","api","True","2024-01-29","2"
"7","testing-tools","Add basic unit test example","There are no sample tests for new contributors. Add a simple test file to demonstrate usage. This helps beginners understand testing setup.","documentation","Python","beginner","testing","True","2024-03-14","1"
"8","automation-scripts","Fix script path issue on Windows","The script fails on Windows due to incorrect path separators. Update code to handle cross platform paths. This will improve compatibility.","bug","Python","beginner","automation","True","2024-04-02","5"
"9","db-manager","Add missing commit after insert","Database inserts are not persisted due to missing commit. Add commit statement after insert operation. This fixes data loss issue.","bug","Python","beginner","database","True","2024-02-20","0"
"10","cli-task-runner","Add example usage in README","README lacks usage examples for commands. Add simple examples to guide new users. This improves onboarding.","documentation","Python","beginner","cli","True","2024-05-11","2"
"11","flask-blog-starter","Fix broken link in footer","The footer contains a broken link to documentation. Update it to the correct URL. This improves navigation.","easy","Python","beginner","web","True","2024-03-07","1"
"12","pandas-utils","Optimize loop using vectorization","A loop can be replaced with pandas vectorized operation. This will improve performance. Update implementation accordingly.","help wanted","Python","beginner","database","True","2024-06-01","3"
"13","api-helper","Handle timeout exception properly","The code does not handle timeout errors. Add try except block for requests timeout. This prevents crashes.","bug","Python","beginner","api","True","2024-02-28","4"
"14","ml-basics","Add comments explaining model training","The training script lacks comments. Add explanations for each step. This helps beginners understand ML flow.","documentation","Python","beginner","ml","True","2024-04-15","0"
"15","testing-tools","Fix assertion error in sample test","The sample test fails due to incorrect expected value. Update expected output. This ensures tests pass correctly.","bug","Python","beginner","testing","True","2024-01-19","6"
"16","automation-scripts","Add logging to backup script","The backup script does not log actions. Add basic logging statements. This helps debugging.","good first issue","Python","beginner","automation","True","2024-05-09","2"
"17","db-manager","Fix typo in SQL query","There is a typo in the SELECT query. Correct the column name. This currently causes query failure.","bug","Python","beginner","database","True","2024-03-01","1"
"18","cli-task-runner","Add default value for argument","The CLI argument crashes when not provided. Add a default value. This improves usability.","easy","Python","beginner","cli","True","2024-02-13","0"
"19","flask-blog-starter","Improve error page design","The error page is plain and unclear. Improve layout and message clarity. This enhances user experience.","help wanted","Python","beginner","web","True","2024-04-28","3"
"20","pandas-utils","Add docstring to utility function","The function lacks proper documentation. Add a clear docstring. This helps maintainability.","documentation","Python","beginner","database","True","2024-06-10","1"
"21","api-helper","Fix JSON parsing issue","The response parsing fails for invalid JSON. Add validation before parsing. This prevents runtime errors.","bug","Python","beginner","api","True","2024-03-22","2"
"22","ml-basics","Add requirements.txt file","The project does not include dependency list. Add requirements.txt with needed libraries. This helps setup.","good first issue","Python","beginner","ml","True","2024-02-05","0"
"23","testing-tools","Update pytest version in config","The pytest version is outdated. Update it to latest stable version. This avoids compatibility issues.","easy","Python","beginner","testing","True","2024-05-17","1"
"24","automation-scripts","Fix cron schedule example","The cron example is incorrect. Update it to valid syntax. This ensures proper scheduling.","bug","Python","beginner","automation","True","2024-04-12","3"
"25","db-manager","Add index to improve query speed","Queries are slow without indexing. Add index to relevant column. This improves performance.","help wanted","Python","beginner","database","True","2024-01-27","4"
